
37,3804.46362
36,3926.7011699999998
35,4055.3942900000002
34,4191.1201199999996
33,4334.52441
32,4486.3349600000001
31,4647.3720700000003
30,4818.56592
29,5000.9741199999999
28,5195.8066399999998
27,5404.4511700000003
26,5628.5102500000003
25,5869.8413099999998
24,6130.6142600000003
23,6413.3745099999996
22,6721.1328100000001
21,7057.4731400000001
20,7426.7002000000002
19,7834.0253899999998
18,8285.8242200000004
17,8789.9765599999992
16,9356.3418000000001
15,9997.4228500000008
14,10729.315399999999
13,11573.0996
12,12556.9434
11,13719.3477
10,15114.3945
9,16820.525399999999
8,18956.074199999999
7,21708.466799999998
6,25393.664100000002
5,30590.449199999999
4,38490.566400000003
3,52030
2,81187.789099999995
1,207154.859
0,0
